date,client_id,region,category,product,amount,year,month,month_label,season
2022-01-01 00:00:00.000000,2658,Asie-Pacifique,Maroquinerie,Herbag Zip 31,3287.548160885978,2022,1,2022-01,Hiver
2022-01-01 01:45:07.620508,2439,Japon,Soie & Textiles,Evelyne III 29,2584.1584369546367,2022,1,2022-01,Hiver
2022-01-01 03:30:15.241016,1922,Moyen-Orient,Maroquinerie,Constance 24,8957.78577057221,2022,1,2022-01,Hiver
2022-01-01 05:15:22.861524,1913,Amériques,Prêt-à-Porter,Evelyne III 29,2527.9088793739725,2022,1,2022-01,Hiver
2022-01-01 07:00:30.482032,1284,Amériques,Prêt-à-Porter,Constance 24,7301.664186668717,2022,1,2022-01,Hiver
2022-01-01 08:45:38.102540,2222,Asie-Pacifique,Prêt-à-Porter,Kelly 28,8361.698534051768,2022,1,2022-01,Hiver
2022-01-01 10:30:45.723048,1748,Europe,Maroquinerie,Birkin 35,9742.38729347266,2022,1,2022-01,Hiver
2022-01-01 12:15:53.343556,1801,Europe,Maroquinerie,Bolide 27,6677.600986541912,2022,1,2022-01,Hiver
2022-01-01 14:01:00.964064,2320,Moyen-Orient,Maroquinerie,Constance 24,7562.137740851751,2022,1,2022-01,Hiver
2022-01-01 15:46:08.584572,308,Moyen-Orient,Maroquinerie,Garden Party 36,2672.914594331345,2022,1,2022-01,Hiver
2022-01-01 17:31:16.205080,1673,Autres,Maroquinerie,Garden Party 36,3040.4596851899437,2022,1,2022-01,Hiver
2022-01-01 19:16:23.825588,2643,Moyen-Orient,Maroquinerie,Herbag Zip 31,3139.541893006741,2022,1,2022-01,Hiver
2022-01-01 21:01:31.446096,556,Chine,Prêt-à-Porter,Herbag Zip 31,2683.2575055659718,2022,1,2022-01,Hiver
2022-01-01 22:46:39.066604,2255,Asie-Pacifique,Joaillerie,Evelyne III 29,2119.674705641374,2022,1,2022-01,Hiver
2022-01-02 00:31:46.687112,1141,Europe,Maroquinerie,Constance 24,8596.154118549428,2022,1,2022-01,Hiver
2022-01-02 02:16:54.307620,1926,Autres,Parfums & Beauté,Herbag Zip 31,3339.6820982587433,2022,1,2022-01,Hiver
2022-01-02 04:02:01.928128,2053,Japon,Maroquinerie,Kelly 28,8429.591268875118,2022,1,2022-01,Hiver
2022-01-02 05:47:09.548636,1966,Japon,Prêt-à-Porter,Evelyne III 29,2670.442397963888,2022,1,2022-01,Hiver
2022-01-02 07:32:17.169144,2547,Japon,Prêt-à-Porter,Constance 24,7673.821121105321,2022,1,2022-01,Hiver
2022-01-02 09:17:24.789652,1650,Europe,Horlogerie,Herbag Zip 31,3297.3956145081706,2022,1,2022-01,Hiver
2022-01-02 11:02:32.410160,1786,Chine,Maroquinerie,Herbag Zip 31,3160.876699819465,2022,1,2022-01,Hiver
2022-01-02 12:47:40.030668,2036,Moyen-Orient,Maroquinerie,Bolide 27,7143.309331423184,2022,1,2022-01,Hiver
2022-01-02 14:32:47.651176,1114,Asie-Pacifique,Maroquinerie,Bolide 27,6646.579235981699,2022,1,2022-01,Hiver
2022-01-02 16:17:55.271684,950,Chine,Maroquinerie,Garden Party 36,2461.3551113689555,2022,1,2022-01,Hiver
2022-01-02 18:03:02.892192,1241,Asie-Pacifique,Horlogerie,Birkin 35,9357.101233066775,2022,1,2022-01,Hiver
2022-01-02 19:48:10.512700,71,Amériques,Parfums & Beauté,Herbag Zip 31,3051.746860986511,2022,1,2022-01,Hiver
2022-01-02 21:33:18.133208,30,Europe,Prêt-à-Porter,Kelly 28,8075.518543467381,2022,1,2022-01,Hiver
2022-01-02 23:18:25.753716,2869,Europe,Soie & Textiles,Constance 24,7218.174239589026,2022,1,2022-01,Hiver
2022-01-03 01:03:33.374224,671,Asie-Pacifique,Horlogerie,Herbag Zip 31,2680.5735786031164,2022,1,2022-01,Hiver
2022-01-03 02:48:40.994732,1420,Amériques,Soie & Textiles,Garden Party 36,2683.6697555071114,2022,1,2022-01,Hiver
2022-01-03 04:33:48.615241,1545,Japon,Maroquinerie,Herbag Zip 31,3025.526380856349,2022,1,2022-01,Hiver
2022-01-03 06:18:56.235749,994,Amériques,Parfums & Beauté,Herbag Zip 31,3302.2508117262755,2022,1,2022-01,Hiver
2022-01-03 08:04:03.856257,2371,Chine,Maroquinerie,Birkin 35,12189.182229711227,2022,1,2022-01,Hiver
2022-01-03 09:49:11.476765,2418,Japon,Maroquinerie,Garden Party 36,3140.7131878970727,2022,1,2022-01,Hiver
2022-01-03 11:34:19.097273,1180,Chine,Maroquinerie,Evelyne III 29,2537.849270246638,2022,1,2022-01,Hiver
2022-01-03 13:19:26.717781,1006,Chine,Prêt-à-Porter,Kelly 28,10485.424322680019,2022,1,2022-01,Hiver
2022-01-03 15:04:34.338289,2262,Amériques,Prêt-à-Porter,Evelyne III 29,2556.7586533806953,2022,1,2022-01,Hiver
2022-01-03 16:49:41.958797,2714,Moyen-Orient,Maroquinerie,Picotin Lock 18,3521.8709623038662,2022,1,2022-01,Hiver
2022-01-03 18:34:49.579305,1107,Europe,Prêt-à-Porter,Bolide 27,5612.905289639177,2022,1,2022-01,Hiver
2022-01-03 20:19:57.199813,2453,Chine,Parfums & Beauté,Constance 24,8924.55329388035,2022,1,2022-01,Hiver
2022-01-03 22:05:04.820321,613,Amériques,Horlogerie,Evelyne III 29,2164.4479843659656,2022,1,2022-01,Hiver
2022-01-03 23:50:12.440829,1872,Moyen-Orient,Soie & Textiles,Birkin 35,11000.111848169548,2022,1,2022-01,Hiver
2022-01-04 01:35:20.061337,281,Asie-Pacifique,Parfums & Beauté,Kelly 28,9355.876493203144,2022,1,2022-01,Hiver
2022-01-04 03:20:27.681845,1716,Moyen-Orient,Parfums & Beauté,Herbag Zip 31,2996.4959873406183,2022,1,2022-01,Hiver
